"title_group","keyword","keyword_count"
"Analyst","sql",12694
"Analyst","excel",8755
"Analyst","power_bi",7136
"Analyst","tableau",7104
"Analyst","python",6474
"Analyst","r",4288
"Analyst","sas",2359
"Analyst","word",1976
"Analyst","powerpoint",1974
"Analyst","snowflake",1429
"Analyst","azure",1191
"Analyst","looker",1122
"Analyst","aws",1098
"Analyst","spark",1002
"Analyst","sap",918
"Analyst","spreadsheet",896
"Analyst","spss",878
"Analyst","go",877
"Analyst","jira",840
"Analyst","alteryx",798
"Analyst","scala",789
"Analyst","microstrategy",683
"Analyst","c",662
"Analyst","vba",658
"Analyst","sharepoint",643
"Analyst","outlook",631
"Analyst","hadoop",533
"Analyst","nosql",508
"Analyst","javascript",491
"Analyst","ssrs",475
"Analyst","bigquery",452
"Analyst","qlik",448
"Analyst","ssis",446
"Analyst","java",444
"Analyst","mysql",377
"Analyst","gcp",347
"Analyst","cognos",332
"Analyst","redshift",329
"Analyst","visio",318
"Analyst","dax",303
"Analyst","pl/sql",269
"Analyst","matlab",260
"Analyst","pandas",236
"Analyst","crystal",231
"Analyst","t-sql",228
"Analyst","html",209
"Analyst","postgresql",195
"Analyst","matplotlib",188
"Analyst","git",176
"Analyst","unix",158
"Analyst","airflow",158
"Analyst","numpy",158
"Analyst","linux",154
"Analyst","github",137
"Analyst","visual_basic",136
"Analyst","pyspark",129
"Analyst","c++",128
"Analyst","swift",123
"Analyst","postgres",123
"Analyst","powershell",113
"Analyst","css",102
"Analyst","scikit-learn",101
"Analyst","shell",97
"Analyst","jupyter",93
"Analyst","tensorflow",84
"Analyst","splunk",81
"Analyst","mssql",77
"Analyst","docker",70
"Analyst","ggplot2",57
"Analyst","assembly",57
"Analyst","gdpr",54
"Analyst","mongodb",52
"Analyst","atlassian",51
"Analyst","perl",51
"Analyst","terminal",50
"Analyst","php",44
"Analyst","gitlab",42
"Analyst","ruby",40
"Analyst","bash",38
"Analyst","plotly",32
"Analyst","aurora",30
"Analyst","c/c++",27
"Analyst","bitbucket",26
"Analyst","mongo",26
"Analyst","seaborn",26
"Analyst","selenium",26
"Analyst","jquery",24
"Analyst","unix/linux",21
"Analyst","js",21
"Analyst","julia",19
"Analyst","asp.net",16
"Analyst","nuix",16
"Analyst","cobol",14
"Analyst","vb.net",13
"Analyst","node.js",11
"Analyst","vue",11
"Analyst","pytorch",11
"Analyst","linux/unix",11
"Analyst","typescript",10
"Analyst","no-sql",10
"Analyst","dplyr",10
"Analyst","golang",9
"Analyst","apl",9
"Analyst","fortran",8
"Analyst","groovy",8
"Analyst","keras",8
"Analyst","powerpoints",7
"Analyst","nltk",6
"Analyst","rshiny",6
"Analyst","dart",5
"Analyst","redis",5
"Analyst","elixir",5
"Analyst","graphql",5
"Analyst","rust",5
"Analyst","node",4
"Analyst","solidity",3
"Analyst","twilio",3
"Analyst","mlr",3
"Analyst","erlang",2
"Analyst","clojure",1
"Analyst","delphi",1
"Analyst","haskell",1
"Analyst","datarobot",1
"Analyst/Engineer","sql",241
"Analyst/Engineer","python",174
"Analyst/Engineer","tableau",119
"Analyst/Engineer","aws",106
"Analyst/Engineer","power_bi",91
"Analyst/Engineer","snowflake",71
"Analyst/Engineer","excel",71
"Analyst/Engineer","r",69
"Analyst/Engineer","azure",53
"Analyst/Engineer","looker",44
"Analyst/Engineer","bigquery",40
"Analyst/Engineer","powerpoint",39
"Analyst/Engineer","spark",39
"Analyst/Engineer","git",38
"Analyst/Engineer","javascript",36
"Analyst/Engineer","redshift",35
"Analyst/Engineer","java",29
"Analyst/Engineer","scala",28
"Analyst/Engineer","c",25
"Analyst/Engineer","postgres",24
"Analyst/Engineer","airflow",22
"Analyst/Engineer","nosql",22
"Analyst/Engineer","word",22
"Analyst/Engineer","sharepoint",22
"Analyst/Engineer","gcp",21
"Analyst/Engineer","mysql",21
"Analyst/Engineer","qlik",21
"Analyst/Engineer","go",21
"Analyst/Engineer","jira",20
"Analyst/Engineer","github",19
"Analyst/Engineer","docker",19
"Analyst/Engineer","ssis",18
"Analyst/Engineer","alteryx",18
"Analyst/Engineer","mongodb",17
"Analyst/Engineer","hadoop",17
"Analyst/Engineer","outlook",16
"Analyst/Engineer","pandas",16
"Analyst/Engineer","c++",13
"Analyst/Engineer","sas",12
"Analyst/Engineer","pyspark",11
"Analyst/Engineer","sap",10
"Analyst/Engineer","linux",10
"Analyst/Engineer","microstrategy",9
"Analyst/Engineer","splunk",9
"Analyst/Engineer","numpy",9
"Analyst/Engineer","ssrs",8
"Analyst/Engineer","mssql",8
"Analyst/Engineer","postgresql",8
"Analyst/Engineer","ruby",7
"Analyst/Engineer","visio",7
"Analyst/Engineer","dax",7
"Analyst/Engineer","clojure",6
"Analyst/Engineer","matlab",6
"Analyst/Engineer","plotly",5
"Analyst/Engineer","ggplot2",5
"Analyst/Engineer","js",5
"Analyst/Engineer","dplyr",5
"Analyst/Engineer","tensorflow",5
"Analyst/Engineer","node",5
"Analyst/Engineer","html",5
"Analyst/Engineer","aurora",5
"Analyst/Engineer","t-sql",4
"Analyst/Engineer","julia",4
"Analyst/Engineer","pl/sql",4
"Analyst/Engineer","node.js",4
"Analyst/Engineer","unix/linux",4
"Analyst/Engineer","spreadsheet",4
"Analyst/Engineer","assembly",4
"Analyst/Engineer","asp.net",3
"Analyst/Engineer","scikit-learn",3
"Analyst/Engineer","matplotlib",3
"Analyst/Engineer","shell",3
"Analyst/Engineer","spss",3
"Analyst/Engineer","rust",3
"Analyst/Engineer","cognos",3
"Analyst/Engineer","selenium",3
"Analyst/Engineer","gitlab",3
"Analyst/Engineer","powershell",2
"Analyst/Engineer","crystal",2
"Analyst/Engineer","linux/unix",2
"Analyst/Engineer","swift",2
"Analyst/Engineer","jquery",2
"Analyst/Engineer","atlassian",2
"Analyst/Engineer","jupyter",2
"Analyst/Engineer","vba",2
"Analyst/Engineer","perl",2
"Analyst/Engineer","keras",1
"Analyst/Engineer","bitbucket",1
"Analyst/Engineer","terminal",1
"Analyst/Engineer","unix",1
"Analyst/Engineer","gdpr",1
"Analyst/Engineer","css",1
"Analyst/Engineer","redis",1
"Analyst/Engineer","seaborn",1
"Analyst/Engineer","vue.js",1
"Analyst/Engineer","vue",1
"Analyst/Engineer","php",1
"Analyst/Engineer","golang",1
"Analyst/Scientist","python",184
"Analyst/Scientist","sql",166
"Analyst/Scientist","r",113
"Analyst/Scientist","tableau",92
"Analyst/Scientist","excel",71
"Analyst/Scientist","power_bi",54
"Analyst/Scientist","sas",36
"Analyst/Scientist","powerpoint",34
"Analyst/Scientist","spark",29
"Analyst/Scientist","azure",22
"Analyst/Scientist","aws",22
"Analyst/Scientist","scala",17
"Analyst/Scientist","hadoop",15
"Analyst/Scientist","snowflake",15
"Analyst/Scientist","matlab",15
"Analyst/Scientist","word",14
"Analyst/Scientist","git",13
"Analyst/Scientist","javascript",13
"Analyst/Scientist","java",11
"Analyst/Scientist","pandas",11
"Analyst/Scientist","go",11
"Analyst/Scientist","numpy",9
"Analyst/Scientist","vba",9
"Analyst/Scientist","spss",9
"Analyst/Scientist","outlook",9
"Analyst/Scientist","tensorflow",8
"Analyst/Scientist","pyspark",8
"Analyst/Scientist","c++",7
"Analyst/Scientist","qlik",7
"Analyst/Scientist","scikit-learn",7
"Analyst/Scientist","nosql",7
"Analyst/Scientist","looker",6
"Analyst/Scientist","docker",6
"Analyst/Scientist","datarobot",6
"Analyst/Scientist","ssis",6
"Analyst/Scientist","shell",6
"Analyst/Scientist","c",6
"Analyst/Scientist","spreadsheet",6
"Analyst/Scientist","matplotlib",5
"Analyst/Scientist","linux",5
"Analyst/Scientist","bigquery",5
"Analyst/Scientist","jupyter",5
"Analyst/Scientist","splunk",5
"Analyst/Scientist","alteryx",4
"Analyst/Scientist","unix",4
"Analyst/Scientist","mysql",4
"Analyst/Scientist","github",4
"Analyst/Scientist","gitlab",3
"Analyst/Scientist","jira",3
"Analyst/Scientist","plotly",3
"Analyst/Scientist","sharepoint",3
"Analyst/Scientist","redshift",3
"Analyst/Scientist","t-sql",2
"Analyst/Scientist","ssrs",2
"Analyst/Scientist","atlassian",2
"Analyst/Scientist","dax",2
"Analyst/Scientist","sap",2
"Analyst/Scientist","pytorch",2
"Analyst/Scientist","seaborn",2
"Analyst/Scientist","terminal",1
"Analyst/Scientist","mongodb",1
"Analyst/Scientist","c/c++",1
"Analyst/Scientist","crystal",1
"Analyst/Scientist","swift",1
"Analyst/Scientist","bitbucket",1
"Analyst/Scientist","rshiny",1
"Analyst/Scientist","julia",1
"Analyst/Scientist","gdpr",1
"Analyst/Scientist","php",1
"Analyst/Scientist","postgresql",1
"Analyst/Scientist","twilio",1
"Analyst/Scientist","linux/unix",1
"Analyst/Scientist","visio",1
"Analyst/Scientist","html",1
"Analyst/Scientist","airflow",1
"Analyst/Scientist","microstrategy",1
"Analyst/Scientist","powershell",1
"Analyst/Scientist","assembly",1
"Engineer","sql",219
"Engineer","python",200
"Engineer","aws",113
"Engineer","spark",102
"Engineer","azure",89
"Engineer","snowflake",63
"Engineer","scala",56
"Engineer","java",56
"Engineer","airflow",49
"Engineer","hadoop",47
"Engineer","nosql",45
"Engineer","power_bi",42
"Engineer","gcp",42
"Engineer","redshift",38
"Engineer","tableau",36
"Engineer","r",31
"Engineer","postgres",29
"Engineer","pyspark",26
"Engineer","excel",24
"Engineer","git",22
"Engineer","mongodb",21
"Engineer","bigquery",20
"Engineer","ssis",18
"Engineer","docker",17
"Engineer","pandas",15
"Engineer","c",14
"Engineer","assembly",14
"Engineer","c++",14
"Engineer","go",11
"Engineer","postgresql",11
"Engineer","linux",11
"Engineer","t-sql",11
"Engineer","github",10
"Engineer","javascript",10
"Engineer","shell",10
"Engineer","alteryx",10
"Engineer","powershell",9
"Engineer","jira",9
"Engineer","sap",8
"Engineer","pl/sql",8
"Engineer","no-sql",8
"Engineer","mysql",8
"Engineer","qlik",6
"Engineer","jupyter",6
"Engineer","ssrs",5
"Engineer","sas",5
"Engineer","looker",5
"Engineer","tensorflow",5
"Engineer","scikit-learn",5
"Engineer","splunk",5
"Engineer","word",5
"Engineer","bash",5
"Engineer","vba",5
"Engineer","numpy",4
"Engineer","matplotlib",4
"Engineer","redis",4
"Engineer","microstrategy",4
"Engineer","mssql",3
"Engineer","rust",3
"Engineer","perl",3
"Engineer","unix/linux",3
"Engineer","golang",3
"Engineer","bitbucket",3
"Engineer","graphql",3
"Engineer","powerpoint",3
"Engineer","css",2
"Engineer","spreadsheet",2
"Engineer","html",2
"Engineer","aurora",2
"Engineer","dax",2
"Engineer","unix",2
"Engineer","gdpr",2
"Engineer","crystal",2
"Engineer","php",2
"Engineer","asp.net",2
"Engineer","kotlin",2
"Engineer","ruby",2
"Engineer","nltk",1
"Engineer","outlook",1
"Engineer","visual_basic",1
"Engineer","keras",1
"Engineer","haskell",1
"Engineer","vb.net",1
"Engineer","matlab",1
"Engineer","spss",1
"Engineer","sharepoint",1
"Engineer","seaborn",1
"Engineer","cognos",1
"Engineer","node",1
"Engineer","visio",1
"Engineer","gitlab",1
"Engineer","typescript",1
"Engineer","solidity",1
"Engineer","node.js",1
"Engineer","vue",1
"Engineer","atlassian",1
"Engineer/Scientist","python",17
"Engineer/Scientist","aws",12
"Engineer/Scientist","spark",11
"Engineer/Scientist","pandas",10
"Engineer/Scientist","sql",10
"Engineer/Scientist","git",10
"Engineer/Scientist","postgresql",9
"Engineer/Scientist","linux",9
"Engineer/Scientist","airflow",8
"Engineer/Scientist","sas",8
"Engineer/Scientist","docker",8
"Engineer/Scientist","pyspark",7
"Engineer/Scientist","redshift",7
"Engineer/Scientist","shell",7
"Engineer/Scientist","ssis",7
"Engineer/Scientist","github",7
"Engineer/Scientist","go",7
"Engineer/Scientist","pytorch",5
"Engineer/Scientist","numpy",5
"Engineer/Scientist","tensorflow",4
"Engineer/Scientist","r",4
"Engineer/Scientist","jupyter",4
"Engineer/Scientist","tableau",3
"Engineer/Scientist","java",3
"Engineer/Scientist","scikit-learn",2
"Engineer/Scientist","sap",2
"Engineer/Scientist","seaborn",2
"Engineer/Scientist","nosql",1
"Engineer/Scientist","spss",1
"Engineer/Scientist","bigquery",1
"Engineer/Scientist","azure",1
"Engineer/Scientist","keras",1
"Engineer/Scientist","splunk",1
"Engineer/Scientist","gcp",1
"Engineer/Scientist","bitbucket",1
"Engineer/Scientist","matlab",1
"Engineer/Scientist","scala",1
"Engineer/Scientist","mongodb",1
"Other","excel",328
"Other","sql",321
"Other","python",191
"Other","power_bi",187
"Other","r",132
"Other","tableau",129
"Other","spreadsheet",94
"Other","azure",94
"Other","snowflake",75
"Other","aws",62
"Other","word",53
"Other","sas",50
"Other","go",47
"Other","looker",38
"Other","spark",38
"Other","spss",33
"Other","powerpoint",32
"Other","c",32
"Other","nosql",31
"Other","vba",30
"Other","sap",29
"Other","pl/sql",27
"Other","jira",27
"Other","ssrs",25
"Other","gcp",23
"Other","java",22
"Other","hadoop",22
"Other","alteryx",20
"Other","ssis",19
"Other","dax",19
"Other","javascript",18
"Other","redshift",15
"Other","outlook",15
"Other","linux",15
"Other","pyspark",14
"Other","postgres",13
"Other","qlik",12
"Other","bigquery",12
"Other","postgresql",11
"Other","unix",11
"Other","mysql",11
"Other","git",11
"Other","scala",11
"Other","t-sql",11
"Other","pandas",11
"Other","shell",10
"Other","sharepoint",10
"Other","airflow",9
"Other","gdpr",9
"Other","cognos",9
"Other","github",7
"Other","jupyter",7
"Other","c++",6
"Other","microstrategy",6
"Other","crystal",6
"Other","html",6
"Other","php",6
"Other","visio",5
"Other","mongodb",5
"Other","powershell",5
"Other","matlab",5
"Other","perl",5
"Other","splunk",5
"Other","numpy",4
"Other","ruby",4
"Other","node",4
"Other","js",4
"Other","scikit-learn",3
"Other","bash",3
"Other","assembly",3
"Other","asp.net",3
"Other","terminal",3
"Other","docker",2
"Other","linux/unix",2
"Other","mssql",2
"Other","pytorch",2
"Other","redis",1
"Other","groovy",1
"Other","keras",1
"Other","gitlab",1
"Other","vue.js",1
"Other","no-sql",1
"Other","css",1
"Other","tensorflow",1
"Other","sass",1
"Other","seaborn",1
"Other","c/c++",1
"Other","selenium",1
"Other","visual_basic",1
"Other","swift",1
"Other","cobol",1
"Other","matplotlib",1
"Other","solidity",1
"Other","dplyr",1
"Scientist","python",574
"Scientist","sql",451
"Scientist","r",346
"Scientist","tableau",171
"Scientist","spark",136
"Scientist","power_bi",135
"Scientist","aws",120
"Scientist","tensorflow",107
"Scientist","java",93
"Scientist","scala",85
"Scientist","hadoop",83
"Scientist","azure",80
"Scientist","sas",79
"Scientist","excel",79
"Scientist","pandas",77
"Scientist","pytorch",70
"Scientist","numpy",70
"Scientist","c++",55
"Scientist","git",55
"Scientist","scikit-learn",54
"Scientist","matplotlib",48
"Scientist","pyspark",45
"Scientist","nosql",44
"Scientist","docker",34
"Scientist","snowflake",33
"Scientist","keras",28
"Scientist","c",27
"Scientist","github",27
"Scientist","powerpoint",23
"Scientist","gcp",21
"Scientist","go",21
"Scientist","spss",19
"Scientist","javascript",19
"Scientist","plotly",18
"Scientist","word",18
"Scientist","jupyter",18
"Scientist","redshift",17
"Scientist","qlik",17
"Scientist","jira",17
"Scientist","seaborn",14
"Scientist","airflow",14
"Scientist","matlab",12
"Scientist","linux",12
"Scientist","looker",12
"Scientist","alteryx",11
"Scientist","mysql",11
"Scientist","shell",11
"Scientist","ssis",9
"Scientist","splunk",9
"Scientist","sharepoint",8
"Scientist","rshiny",8
"Scientist","postgresql",8
"Scientist","spreadsheet",8
"Scientist","unix",7
"Scientist","perl",7
"Scientist","sap",7
"Scientist","mongodb",7
"Scientist","vba",7
"Scientist","bigquery",6
"Scientist","nltk",6
"Scientist","julia",6
"Scientist","gitlab",6
"Scientist","ruby",4
"Scientist","dplyr",4
"Scientist","visual_basic",4
"Scientist","php",4
"Scientist","ssrs",4
"Scientist","bash",4
"Scientist","dax",4
"Scientist","mxnet",4
"Scientist","css",3
"Scientist","theano",3
"Scientist","microstrategy",3
"Scientist","ggplot2",3
"Scientist","linux/unix",3
"Scientist","postgres",3
"Scientist","html",3
"Scientist","c/c++",3
"Scientist","node",2
"Scientist","gdpr",2
"Scientist","crystal",2
"Scientist","powershell",2
"Scientist","unix/linux",2
"Scientist","no-sql",2
"Scientist","outlook",2
"Scientist","selenium",2
"Scientist","aurora",2
"Scientist","mongo",2
"Scientist","visio",1
"Scientist","tidyr",1
"Scientist","atlassian",1
"Scientist","t-sql",1
"Scientist","bitbucket",1
"Scientist","terminal",1
"Scientist","cognos",1
"Scientist","redis",1
"Scientist","twilio",1
